Date,Week,Time,HomeTeam,AwayTeam,FTR
29/06/2020,32,20:00:00,Crystal Palace,Burnley,A
30/06/2020,32,20:15:00,Brighton,Man Utd,A
2020-01-07 00:00:00,32,18:00:00,Arsenal,Norwich,H
2020-01-07 00:00:00,32,18:00:00,Bournmouth,Newcastle,A
2020-01-07 00:00:00,32,18:00:00,Everton,Leicester,H
2020-01-07 00:00:00,32,20:15:00,West Ham,Chelsea,H
2020-02-07 00:00:00,32,18:00:00,Sheffield United,Tottenham,H
2020-02-07 00:00:00,32,20:15:00,Man City,Liverpool,H
2020-04-07 00:00:00,32,15:00:00,Norwich,Brighton,A
2020-04-07 00:00:00,32,15:00:00,Leicester,Crystal Palace,H
2020-04-07 00:00:00,32,15:00:00,Man Utd,Bournemouth,H
2020-04-07 00:00:00,32,15:00:00,Wolves,Arsenal,A
2020-04-07 00:00:00,32,15:00:00,Chelsea,Watford,H
2020-05-07 00:00:00,32,15:00:00,Burnley,Sheffield United,D
2020-05-07 00:00:00,32,15:00:00,Newcastle,West Ham,D
2020-05-07 00:00:00,32,15:00:00,Liverpool,Aston Villa,H
2020-05-07 00:00:00,32,15:00:00,Southampton,Man City,H
