"Date","Week","Time","HomeTeam","AwayTeam","FTR"
"26/07/2020","","","Arsenal","Watford","H"
"26/07/2020","","","Burnley","Brighton","A"
"26/07/2020","","","Chelsea","Wolves","H"
"26/07/2020","","","Crystal Palace","Tottenham","D"
"26/07/2020","","","Everton","Bournemouth","A"
"26/07/2020","","","Leicester","Man United","A"
"26/07/2020","","","Man City","Norwich","H"
"26/07/2020","","","Newcastle","Liverpool","A"
"26/07/2020","","","Southampton","Sheffield United","H"
"26/07/2020","","","West Ham","Aston Villa","D"
