,Date,Week,Time,HomeTeam,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,IWA,IWD,IWH,PSA,PSD,PSH,WHA,WHD,WHH
0,17/06/2020,29.0,18:00,Aston Villa,Sheffield United,2.25,3.4,3.2,2.25,3.4,3.25,2.25,3.3,3.3,2.26,3.42,3.48,2.25,3.3,3.3
1,17/06/2020,29.0,20:15,Man City,Arsenal,9.5,5.75,1.3,8.5,5.25,1.35,8.2,5.6,1.33,9.22,5.8,1.3419999999999999,9.5,5.5,1.32
2,19/06/2020,29.0,18:00,Norwich,Southampton,2.15,4.0,3.1,2.2,3.5,3.2,2.2,3.5,3.15,2.26,3.6,3.23,2.2,3.5,3.2
3,19/06/2020,29.0,20:15,Tottenham,Man United,2.4,3.4,2.8,2.4,3.4,2.95,2.45,3.4,2.9,2.45,3.47,2.45,2.4,3.4,3.0
4,20/06.2020,30.0,12:30,Watford,Leicester,2.05,3.5,3.7,2.05,3.6,3.5,2.05,3.5,3.6,2.09,3.61,3.73,2.05,3.5,3.6
5,20/06.2020,30.0,15:30,Brighton,Arsenal,2.4,3.4,2.9,2.35,3.4,3.0,2.4,3.35,2.95,2.47,3.44,3.06,2.4,3.3,3.0
6,20/06.2020,30.0,17:30,West Ham,Wolves,2.05,3.4,3.6,2.1,3.4,3.6,2.1,3.35,3.65,2.11,3.47,3.84,2.1,3.3,3.7
7,20/06.2020,30.0,19:45,Bournemouth,Crystal Palace,1.5,3.2,1.45,2.95,3.3,2.45,3.0,3.2,2.45,3.12,3.29,2.522,3.0,3.2,2.45
8,21/06/2020,30.0,14:00,Newcastle,Sheffield United,2.375,3.1,3.3,3.7,3.0,3.4,2.35,3.05,3.3,2.41,3.17,3.43,2.35,3.1,3.3
9,21/06/2020,30.0,16:15,Aston Villa,Chelsea,1.5,4.5,6.0,1.53,4.4,6.0,1.53,4.45,5.8,1.555,4.62,6.01,1.5,4.6,6.0
10,21/06/2020,30.0,19:00,Everton,Liverpool,1.55,4.2,6.0,1.57,4.25,5.5,1.57,4.2,5.5,1.6019999999999999,4.32,5.88,1.55,4.2,6.0
11,22/06/2020,31.0,20:00,Man City,Burnley,15.0,9.0,1.125,17.0,9.5,2.18,15.0,8.5,1.15,20.83,9.28,1.149,23.0,9.0,1.11
12,23/06/2020,31.0,18:00,Leicester,Brighton,4.75,3.9,1.6669999999999998,18.0,3.8,1.7,5.0,3.8,1.7,5.25,3.94,1.704,5.25,3.75,1.7
13,23/06/2020,31.0,20:15,Tottneham,West Ham,5.5,3.75,1.615,4.6,4.1,1.7,4.75,4.0,1.7,4.94,4.08,1.714,5.0,4.0,1.67
14,24/05/2020,31.0,18:00,Man Utd,Sheffield United,7.5,4.5,1.4,8.25,4.25,1.44,8.0,4.3,1.45,8.43,4.35,1.44,8.5,4.33,1.42
15,24/05/2020,31.0,18:00,Newcastle,Aston Villa,3.1,3.25,2.3,3.1,3.3,2.35,3.2,3.3,2.3,3.26,3.39,2.33,3.1,3.4,2.3
16,24/05/2020,31.0,18:00,Norwich,Everton,1.909,3.5,3.9,1.95,3.7,3.75,1.95,3.65,3.8,1.97,3.71,3.99,1.95,3.6,3.9
17,24/05/2020,31.0,18:00,Wolves,Bournemouth,5.75,3.8,1.6,5.25,3.9,1.65,5.5,3.85,1.63,5.66,3.98,2.33,5.8,3.9,1.6
18,24/05/2020,31.0,20:15,Liverpool,Crystal Palace,13.0,6.0,1.22,13.5,6.25,1.22,12.5,5.9,1.23,15.4,6.79,1.222,15.0,6.5,1.2
19,25/06/2020,31.0,18:00,Burnley,Watford,2.6,3.2,2.75,2.7,3.2,2.7,2.65,3.2,2.8,2.64,3.27,2.89,2.625,3.2,2.8
20,25/06/2020,31.0,18:00,Southampton,Arsenal,2.625,3.5,2.6,4.3,3.4,2.6,2.65,3.45,2.6,2.71,3.52,2.66,2.625,3.5,2.625
21,25/06/2020,31.0,20:15,Chelsea,Man City,1.85,3.8,3.8,1.85,3.9,4.0,1.85,3.85,3.95,1.847,3.27,2.89,1.85,3.9,3.9
22,27/06/2020,31.0,12:30,Aston Villa,Wolves,1.85,3.4,4.33,2.7,3.5,4.5,1.85,3.5,4.4,1.869,3.6,4.64,1.85,3.5,4.4
23,28/06/2020,31.0,16:30,Watford,Southampton,2.75,3.3,2.5,2.8,3.3,2.55,2.75,3.35,2.55,2.79,3.42,2.63,2.75,3.4,2.55
24,2020-06-29 00:00:00,32.0,20:00:00,Crystal Palace,Burnley,3.4,3.2,2.25,3.4,3.2,2.25,3.35,3.1,2.35,3.4,3.14,2.4,3.4,3.1,2.3
25,2020-06-30 00:00:00,32.0,20:15:00,Brighton,Man Utd,1.75,3.5,4.75,1.75,3.7,4.75,1.75,3.65,4.9,1.763,3.71,5.15,1.75,3.6,5.0
26,2020-01-07 00:00:00,32.0,18:00:00,Arsenal,Norwhich,6.5,4.5,1.45,6.0,4.6,1.5,6.3,4.4,1.5,6.7,4.5,1.505,7.0,4.4,1.47
27,2020-01-07 00:00:00,32.0,18:00:00,Bournmouth,Newcastle,3.1,3.2,2.375,3.2,3.25,2.3,3.25,3.15,2.35,3.39,3.18,2.38,3.3,3.1,2.35
28,2020-01-07 00:00:00,32.0,18:00:00,Everton,Leicester,2.7,3.4,2.5,2.75,3.4,2.55,2.8,3.3,2.55,2.9,3.36,2.58,2.8,3.3,2.55
29,2020-01-07 00:00:00,32.0,20:15:00,West Ham,Chelsea,1.6666666667,4.0,4.75,7.7,4.1,4.75,1.67,4.05,4.95,1.671,4.17,5.21,1.63,32.0,5.25
30,2020-02-07 00:00:00,32.0,18:00:00,Sheffield United,Tottenham,2.0,3.3,3.75,2.05,3.4,3.7,2.0,3.35,3.9,2.03,3.44,4.06,3.0,3.3,4.0
31,2020-02-07 00:00:00,32.0,20:15:00,Man City,Liverpool,3.2,3.6,2.1,3.25,3.6,2.15,3.15,3.75,2.15,3.24,3.93,2.14,3.1,3.75,2.15
32,2020-04-07 00:00:00,32.0,15:00:00,Norwich,Brighton,2.375,3.25,3.0,2.4,3.3,3.0,2.35,3.3,3.05,2.39,3.37,3.2800000000000002,2.4,3.3,3.0
33,2020-04-07 00:00:00,32.0,15:00:00,Leicester,Crystal Palace,6.5,4.0,1.5333333332999999,6.25,4.1,1.55,6.3,4.0,1.57,6.91,4.11,1.55,7.0,3.3,1.5333333332999999
34,2020-04-07 00:00:00,32.0,15:00:00,Man Utd,Bournemouth,13.0,4.75,1.2857142857000001,13.5,5.5,1.26,11.5,5.7,1.27,13.44,6.28,1.254,13.0,5.8,1.25
35,2020-04-07 00:00:00,32.0,15:00:00,Wolves,Arsenal,3.2,3.4,2.2,3.25,3.4,2.25,3.3,3.4,2.2,3.49,3.45,2.2,3.3,3.4,2.2
36,2020-04-07 00:00:00,32.0,15:00:00,Chelsea,Watford,7.5,4.5,1.4,7.5,4.6,1.42,7.0,4.55,1.45,8.93,4.77,1.409,8.0,4.6,1.42
37,2020-05-07 00:00:00,32.0,15:00:00,Burnley,Sheffield United,2.5,3.2,2.8,2.65,3.1,19.5,2.7,3.0,2.85,2.83,3.05,2.87,2.7,3.0,2.875
38,2020-05-07 00:00:00,32.0,15:00:00,Newcastle,West Ham,2.9,3.25,2.4,2.95,3.3,2.45,2.85,3.3,2.5,2.92,3.32,2.58,2.875,3.3,1.3333333333000001
39,2020-05-07 00:00:00,32.0,15:00:00,Liverpool,Aston Villa,1.3333333333000001,5.0,8.0,8.75,5.5,1.33,7.8,5.3,1.3599999999999999,8.82,5.52,1.357,2.5,5.25,9.0
40,2020-05-07 00:00:00,32.0,15:00:00,Southampton,Man City,1.25,5.5,13.0,1.3,5.5,10.0,1.32,5.3,9.2,1.331,5.49,10.21,1.32,5.25,10.0
41,,,,Tottenham,Everton,4.0,3.6,1.9090909091000001,3.5,3.6,2.05,3.9,3.55,1.9500000000000002,3.7,3.55,2.09,3.6,3.5,2.05
42,,,,Crystal Palace,Chelsea,1.45,4.3333333333,7.5,1.5,4.25,6.75,1.47,4.35,7.1,1.505,4.33,7.34,1.47,4.2,7.5
43,,,,Watford,Norwhich,5.25,3.9,1.65,5.25,3.9,1.65,5.3,3.85,1.67,5.37,3.93,1.649,5.5,3.9,1.63
44,,,,Arsenal,Leicester,3.1,3.5,2.25,3.1,3.5,2.25,3.05,3.45,2.3,3.08,3.54,2.36,3.1,3.4,2.3
45,,,,Man City,Newcastle,21.0,9.0,1.125,21.0,9.25,1.12,20.0,8.5,1.13,24.19,9.06,1.126,23.0,8.5,1.125
46,,,,Sheffield United,Wolves,2.1,3.2,3.8,2.1,3.2,3.8,2.1,3.05,3.95,2.12,3.14,4.17,2.1,3.1,4.0
47,,,,West Ham,Burnley,3.9,3.4,2.0,3.75,3.4,2.05,3.9,3.35,2.0,3.92,3.46,2.06,3.75,3.5,2.0
48,,,,Brighton,Liverpool,1.5333333332999999,4.3333333333,6.0,1.53,4.33,6.0,1.57,4.15,5.8,1.574,4.32,6.08,1.533333333333333,4.2,6.5
49,,,,Bournemouth,Tottenham,1.6153846154,4.0,5.0,1.67,4.0,5.0,1.67,4.0,5.0,1.671,4.12,5.27,1.63,4.0,5.25
50,,,,Everton,Southampton,3.5,3.6,2.0,3.75,3.5,2.0,3.65,3.5,2.05,3.79,3.63,2.04,3.8,3.5,2.0
51,,,,Aston Villa,Man Utd,1.3,5.5,9.0,4.3,4.25,9.25,1.35,5.1,8.9,1.361,5.21,9.56,1.333333333333333,5.25,9.5
52,,,,Norwich,West Ham,2.15,3.5,3.2,2.25,3.5,3.1,2.15,3.5,3.25,2.23,3.62,3.27,2.2,3.5,3.2
53,,,,Watford,Newcastle,4.3333333333,3.5,1.8333333333000001,4.5,3.6,1.83,4.25,3.5,1.87,4.53,3.64,1.877,4.2,3.5,1.9090909090909092
54,,,,Liverpool,Burnley,9.5,5.5,1.2857142857000001,10.5,5.75,1.28,9.4,5.7,1.3,10.76,6.0,1.295,10.0,5.8,1.29
55,,,,Sheffield United,Chelsea,1.5333333332999999,4.0,6.5,1.65,3.8,5.5,1.57,4.0,6.2,1.595,4.01,6.48,1.55,4.0,6.5
56,,,,Brighton,Man City,1.3,5.25,9.5,1.33,5.25,9.25,1.35,5.2,8.6,1.358,5.33,9.29,1.333333333333333,5.25,9.0
57,,,,Wolves,Everton,3.6,3.2,2.1,3.6,3.25,2.15,3.6,3.29,2.15,3.68,3.2800000000000002,2.21,3.5,3.2,2.2
58,,,,Aston Villa,Crystal Palace,3.3,3.3,2.25,3.3,3.3,2.25,3.25,3.35,2.25,3.24,3.41,2.33,3.2,3.3,2.3
59,,,,Tottenham,Arsenal,2.875,3.5,2.3,2.95,3.5,2.35,2.9,3.5,2.35,2.98,3.64,2.38,2.875,3.5,2.375
60,,,,Bournemouth,Leicester,1.7000000000000002,3.75,4.75,1.72,3.9,4.75,1.7000000000000002,3.8,4.9,1.729,3.86,5.16,1.727272727272727,3.7,5.0
61,,,,Man United,Southampton,1.2857142857142856,1.2857142857142856,1.2857142857142856,10.5,5.75,1.28,9.5,5.6,1.3,10.2,6.42,1.279,12.0,6.0,1.25
62,,,,Chelsea,Norwich,17.0,9.5,1.125,16.5,8.5,1.15,20.0,9.0,1.12,21.65,9.42,1.127,23.0,9.0,1.1111111111111112
63,,,,Burnley,Wolves,1.8333333333333335,3.4,4.5,1.9,3.3,4.5,1.87,3.25,4.7,1.884,3.37,4.98,1.88,3.25,4.75
64,,,,Man City,Bournemouth,15.0,9.0,1.1428571428571428,15.5,8.0,1.16,15.5,8.4,1.15,15.26,8.6,1.163,17.0,8.5,1.1428571428571428
65,,,,Newcastle,Tottenham,1.75,3.75,4.5,1.8,3.7,4.4,1.8,3.7,4.5,1.813,3.79,4.66,1.75,3.7,4.75
66,,,,Arsenal,Liverpool,1.85,3.8,3.75,1.85,4.0,3.8,1.9,3.85,3.8,1.909,3.99,3.92,1.88,3.8,3.9
67,,,,Everton,Aston Villa,3.75,3.6,1.95,3.8,3.6,1.95,3.7,3.55,2.0,3.76,3.6,2.06,3.7,3.6,2.0
68,,,,Leicester,Sheffield United,4.0,3.3,1.95,4.1,3.4,1.95,3.95,3.3,2.0,4.1,3.36,2.05,4.0,3.4,2.0
69,,,,Crystal Palace,Man United,1.3333333333333333,5.0,9.5,1.36,4.75,9.5,1.36,4.85,9.3,1.374,4.86,10.21,1.3333333333333333,5.0,10.0
70,,,,West Ham,Watford,3.25,3.0,2.375,3.3,3.1,2.35,3.3,3.0,2.4,3.45,3.03,2.44,3.25,3.1,2.375
71,,,,Arsenal,Watford,3.8,3.8,1.9090909090909092,3.8,3.75,1.9100000000000001,3.75,3.8,1.95,3.88,4.01,1.917,3.8,3.9,1.88
72,,,,Burnley,Brighton,3.1,3.4,2.3,3.1,3.4,2.3,3.05,3.3,2.3,3.17,3.54,2.31,3.0,3.5,2.3
73,,,,Chelsea,Wolves,4.0,3.8,1.85,4.33,3.8,1.8,4.0,3.45,1.95,4.1,3.69,1.952,4.333333333333334,3.75,1.8
74,,,,Crystal Palace,Tottenham,1.55,4.2,6.0,1.55,4.2,6.0,1.57,3.95,6.0,1.568,4.29,6.22,1.52,4.2,6.5
75,,,,Everton,Bournemouth,2.9,3.9,2.2,2.9,3.8,2.25,3.0,3.35,2.25,3.03,3.8,2.29,3.0,3.7,2.25
76,,,,Leicester,Man United,26.0,11.0,3.0,2.2,3.5,3.2,2.25,3.3,3.2,2.26,3.52,3.3,2.25,3.4,3.2
77,,,,Man City,Norwich,26.0,11.0,1.0833333333333333,31.0,13.5,1.06,35.0,14.0,1.05,38.98,15.12,1.056,21.0,13.0,1.0833333333333333
78,,,,Newcastle,Liverpool,1.3636363636363638,5.25,7.5,1.4,5.0,7.5,1.43,4.8,7.0,1.408,5.08,7.8,1.38,5.0,8.0
