Date,Week,Time,HomeTeam,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,IWA,IWD,IWH,PSA,PSD,PSH,WHA,WHD,WHH
22/06/2020,31,20:00,Man City,Burnley,15,9,1.125,17,9.5,2.18,15,8.5,1.15,20.83,9.28,1.149,23,9,1.11
23/06/2020,31,18:00,Leicester,Brighton,4.75,3.9,1.667,18,3.8,1.7,5,3.8,1.7,5.25,3.94,1.704,5.25,3.75,1.7
23/06/2020,31,20:15,Tottneham,West Ham,5.5,3.75,1.615,4.6,4.1,1.7,4.75,4,1.7,4.94,4.08,1.714,5,4,1.67
24/05/2020,31,18:00,Man Utd,Sheffield United,7.5,4.5,1.4,8.25,4.25,1.44,8,4.3,1.45,8.43,4.35,1.44,8.5,4.33,1.42
24/05/2020,31,18:00,Newcastle,Aston Villa,3.1,3.25,2.3,3.1,3.3,2.35,3.2,3.3,2.3,3.26,3.39,2.33,3.1,3.4,2.3
24/05/2020,31,18:00,Norwich,Everton,1.909,3.5,3.9,1.95,3.7,3.75,1.95,3.65,3.8,1.97,3.71,3.99,1.95,3.6,3.9
24/05/2020,31,18:00,Wolves,Bournemouth,5.75,3.8,1.6,5.25,3.9,1.65,5.5,3.85,1.63,5.66,3.98,2.33,5.8,3.9,1.6
24/05/2020,31,20:15,Liverpool,Crystal Palace,13,6,1.22,13.5,6.25,1.22,12.5,5.9,1.23,15.4,6.79,1.222,15,6.5,1.2
25/06/2020,31,18:00,Burnley,Watford,2.6,3.2,2.75,2.7,3.2,2.7,2.65,3.2,2.8,2.64,3.27,2.89,2.625,3.2,2.8
25/06/2020,31,18:00,Southampton,Arsenal,2.625,3.5,2.6,4.3,3.4,2.6,2.65,3.45,2.6,2.71,3.52,2.66,2.625,3.5,2.625
25/06/2020,31,20:15,Chelsea,Man City,1.85,3.8,3.8,1.85,3.9,4,1.85,3.85,3.95,1.847,3.27,2.89,1.85,3.9,3.9
27/06/2020,31,12:30,Aston Villa,Wolves,1.85,3.4,4.33,2.7,3.5,4.5,1.85,3.5,4.4,1.869,3.6,4.64,1.85,3.5,4.4
28/06/2020,31,16:30,Watford,Southampton,2.75,3.3,2.5,2.8,3.3,2.55,2.75,3.35,2.55,2.79,3.42,2.63,2.75,3.4,2.55
