,Date,Week,Time,HomeTeam,AwayTeam,FTR
0,17/06/2020,29.0,18:00,Aston Villa,Sheffield United,D
1,17/06/2020,29.0,20:15,Man City,Arsenal,H
2,19/06/2020,29.0,18:00,Norwich,Southampton,A
3,19/06/2020,29.0,20:15,Tottenham,Man United,D
4,20/06/2020,30.0,12:30,Watford,Leicester,D
5,20/06.2020,30.0,15:30,Brighton,Arsenal,H
6,20/06.2020,30.0,17:30,West Ham,Wolves,A
7,20/06.2020,30.0,19:45,Bournemouth,Crystal Palace,A
8,21/06/2020,30.0,14:00,Newcastle,Sheffield United,H
9,21/06/2020,30.0,16:15,Aston Villa,Chelsea,A
10,21/06/2020,30.0,19:00,Everton,Liverpool,D
11,22/06/2020,31.0,20:00:00,Man City,Burnley,H
12,23/06/2020,31.0,18:00:00,Leicester,Brighton,D
13,23/06/2020,31.0,20:15:00,Tottneham,West Ham,H
14,24/05/2020,31.0,18:00:00,Man Utd,Sheffield United,H
15,24/05/2020,31.0,18:00:00,Newcastle,Aston Villa,D
16,24/05/2020,31.0,18:00:00,Norwich,Everton,A
17,24/05/2020,31.0,18:00:00,Wolves,Bournemouth,H
18,24/05/2020,31.0,20:15:00,Liverpool,Crystal Palace,H
19,25/06/2020,31.0,18:00:00,Burnley,Watford,H
20,25/06/2020,31.0,18:00:00,Southampton,Arsenal,A
21,25/06/2020,31.0,20:15:00,Chelsea,Man City,H
22,27/06/2020,31.0,12:30:00,Aston Villa,Wolves,A
23,28/06/2020,31.0,16:30:00,Watford,Southampton,D
24,29/06/2020,32.0,20:00:00,Crystal Palace,Burnley,A
25,30/06/2020,32.0,20:15:00,Brighton,Man Utd,A
26,2020-01-07 00:00:00,32.0,18:00:00,Arsenal,Norwich,H
27,2020-01-07 00:00:00,32.0,18:00:00,Bournmouth,Newcastle,A
28,2020-01-07 00:00:00,32.0,18:00:00,Everton,Leicester,H
29,2020-01-07 00:00:00,32.0,20:15:00,West Ham,Chelsea,H
30,2020-02-07 00:00:00,32.0,18:00:00,Sheffield United,Tottenham,H
31,2020-02-07 00:00:00,32.0,20:15:00,Man City,Liverpool,H
32,2020-04-07 00:00:00,32.0,15:00:00,Norwich,Brighton,A
33,2020-04-07 00:00:00,32.0,15:00:00,Leicester,Crystal Palace,H
34,2020-04-07 00:00:00,32.0,15:00:00,Man Utd,Bournemouth,H
35,2020-04-07 00:00:00,32.0,15:00:00,Wolves,Arsenal,A
36,2020-04-07 00:00:00,32.0,15:00:00,Chelsea,Watford,H
37,2020-05-07 00:00:00,32.0,15:00:00,Burnley,Sheffield United,D
38,2020-05-07 00:00:00,32.0,15:00:00,Newcastle,West Ham,D
39,2020-05-07 00:00:00,32.0,15:00:00,Liverpool,Aston Villa,H
40,2020-05-07 00:00:00,32.0,15:00:00,Southampton,Man City,H
41,2020-06-07,33.0,20:00:00,Tottenham,Everton,H
42,2020-07-07,33.0,18:00:00,Crystal Palace,Chelsea,A
43,2020-07-07,33.0,18:00:00,Watford,Norwhich,H
44,2020-07-07,33.0,20:15:00,Arsenal,Leicester,D
45,2020-08-07,33.0,18:00:00,Man City,Newcastle,H
46,2020-08-07,33.0,18:00:00,Sheffield United,Wolves,H
47,2020-08-07,33.0,18:00:00,West Ham,Burnley,A
48,2020-08-07,33.0,20:15:00,Brighton,Liverpool,A
49,2020-09-07,33.0,18:00:00,Bournemouth,Tottenham,D
50,2020-09-07,33.0,18:00:00,Everton,Southampton,D
51,2020-09-07,33.0,20:15:00,Aston Villa,Man Utd,A
52,2020-11-07,33.0,12:30:00,Norwich,West Ham,A
53,2020-11-07,33.0,12:30:00,Watford,Newcastle,H
54,2020-11-07,33.0,15:00:00,Liverpool,Burnley,D
55,2020-11-07,33.0,17:30:00,Sheffield United,Chelsea,H
56,2020-11-07,33.0,20:00:00,Brighton,Man City,A
57,2020-12-07,33.0,12:00:00,Wolves,Everton,H
58,2020-12-07,33.0,14:15:00,Aston Villa,Crystal Palace,H
59,2020-12-07,33.0,16:20:00,Tottenham,Arsenal,H
60,2020-12-07,33.0,19:00:00,Bournemouth,Leicester,H
61,13/07/2020,34.0,20:00:00,Man United,Southampton,D
62,14/07/2020,34.0,20:15:00,Chelsea,Norwich,H
63,15/07/2020,34.0,18:00:00,Burnley,Wolves,H
64,15/07/2020,34.0,18:00:00,Man City,Bournemouth,H
65,15/07/2020,34.0,18:00:00,Newcastle,Tottenham,A
66,15/07/2020,34.0,20:00:00,Arsenal,Liverpool,H
67,16/07/2020,34.0,18:00:00,Everton,Aston Villa,D
68,16/07/2020,34.0,18:00:00,Leicester,Sheffield United,H
69,16/07/2020,34.0,20:15:00,Crystal Palace,Man United,A
70,17/07/2020,34.0,20:00:00,West Ham,Waftord,D
71,26/07/2020,,,Arsenal,Watford,H
72,26/07/2020,,,Burnley,Brighton,A
73,26/07/2020,,,Chelsea,Wolves,H
74,26/07/2020,,,Crystal Palace,Tottenham,D
75,26/07/2020,,,Everton,Bournemouth,A
76,26/07/2020,,,Leicester,Man United,A
77,26/07/2020,,,Man City,Norwich,H
78,26/07/2020,,,Newcastle,Liverpool,A
79,26/07/2020,,,Southampton,Sheffield United,H
80,26/07/2020,,,West Ham,Aston Villa,D
