Date,Week,Time,HomeTeam,AwayTeam,FTR
2020-06-07,33,20:00:00,Tottenham,Everton,
2020-07-07,33,18:00:00,Crystal Palace,Chelsea,
2020-07-07,33,18:00:00,Watford,Norwhich,
2020-07-07,33,20:15:00,Arsenal,Leicester,
2020-08-07,33,18:00:00,Man City,Newcastle,
2020-08-07,33,18:00:00,Sheffield United,Wolves,
2020-08-07,33,18:00:00,West Ham,Burnley,
2020-08-07,33,20:15:00,Brighton,Liverpool,
2020-09-07,33,18:00:00,Bournemouth,Tottenham,
2020-09-07,33,18:00:00,Everton,Southampton,
2020-09-07,33,20:15:00,Aston Villa,Man Utd,
2020-11-07,33,12:30:00,Norwich,West Ham,
2020-11-07,33,12:30:00,Watford,Newcastle,
2020-11-07,33,15:00:00,Liverpool,Burnley,
2020-11-07,33,17:30:00,Sheffield United,Chelsea,
2020-11-07,33,20:00:00,Brighton,Man City,
2020-12-07,33,12:00:00,Wolves,Everton,
2020-12-07,33,14:15:00,Aston Villa,Crystal Palace,
2020-12-07,33,16:20:00,Tottenham,Arsenal,
2020-12-07,33,19:00:00,Bournemouth,Leicester,
