Date,Week,Time,HomeTeam,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,IWA,IWD,IWH,PSA,PSD,PSH,WHA,WHD,WHH
22/06/2020,31,20:00,Man City,Burnley,,,,,,,,,,,,,,,
23/06/2020,31,18:00,Leicester,Brighton,,,,,,,,,,,,,,,
23/06/2020,31,20:15,Tottneham,West Ham,,,,,,,,,,,,,,,
24/05/2020,31,18:00,Man Utd,Sheffield United,,,,,,,,,,,,,,,
24/05/2020,31,18:00,Newcastle,Aston Villa,,,,,,,,,,,,,,,
24/05/2020,31,18:00,Norwich,Everton,,,,,,,,,,,,,,,
24/05/2020,31,18:00,Wolves,Bournemouth,,,,,,,,,,,,,,,
24/05/2020,31,20:15,Liverpool,Crystal Palace,,,,,,,,,,,,,,,
25/06/2020,31,18:00,Burnley,Watford,,,,,,,,,,,,,,,
26/06/2020,31,18:00,Southampton,Arsenal ,,,,,,,,,,,,,,,
27/06/2020,31,20:15,Chelsea,Man City,,,,,,,,,,,,,,,
