Fixture,p(H),p(A),p(D),APPLE Prediction
Man United v Southampton,0.7365702,0.09662693,0.16680284,H
Chelsea v Norwich,0.86322033,0.057881653,0.07889799,H
Burnley v Wolves,0.22149648,0.5110991,0.26740447,A
Man City v Bournemouth,0.96446365,0.03248781,0.003048524,H
Newcastle v Tottenham,0.4764599,0.46841675,0.055123366,H
Arsenal v Liverpool,0.16762683,0.46789595,0.36447722,A
Everton v Aston Villa,0.87662697,0.057745144,0.0656279,H
Leicester v Sheffield United,0.21923128,0.2571895,0.5235792,D
Crystal Palace v Man United,0.110400535,0.84604216,0.04355735,A
West Ham v Watford,0.3415426,0.3136771,0.34478033,D
