Fixture,p(H),p(A),p(D),APPLE Prediction
Arsenal v Watford,0.6413728,0.13308738,0.2255398,H
Burnley v Brighton,0.44197157,0.2686116,0.28941682,H
Chelsea v Wolves,0.28044438,0.2404959,0.47905967,D
Crystal Palace v Tottenham,0.20174156,0.7006733,0.097585134,A
Everton v Bournemouth,0.6846969,0.20481235,0.11049067,H
Leicester v Man United,0.60849726,0.23396678,0.15753594,H
Man City v Norwich,0.99415344,0.005113375,0.0007332521,H
Newcastle v Liverpool,0.07540944,0.8496342,0.07495646,A
Southampton v Sheffield United,0.17649505,0.33511898,0.4883859,D
West Ham v Aston Villa,0.59742564,0.23632608,0.16624829,H
