Fixture,p(H),p(A),p(D),APPLE Prediction
Everton v West Brom,0.48187348,0.19461507,0.32351133,H
Leeds v Fulham,0.8061636,0.06570244,0.12813395,H
Man United v Crystal Palace,0.52612734,0.19217049,0.2817022,H
Arsenal v West Ham,0.7049438,0.04958414,0.24547207,H
Southampton v Tottenham,0.18300973,0.63555044,0.18143983,A
Newcastle v Brighton,0.44413808,0.19717605,0.3586859,H
Chelsea v Liverpool,0.18153703,0.6612772,0.15718575,A
Leicester v Burnley,0.53454506,0.22630021,0.23915473,H
Aston Villa v Sheffield United,0.28141046,0.34366235,0.37492713,D
Wolves v Man City,0.22873828,0.6300352,0.14122654,A
