HomeTeam,AwayTeam,p(H),p(A),p(D),APPLE Prediction
Brighton,Man United,0.2618709,0.5846743,0.15345481,A
Crystal Palace,Everton,0.26401928,0.5656327,0.17034799,A
West Brom,Chelsea,0.066962115,0.8877283,0.045309618,A
Burnley,Southampton,0.47948948,0.33331272,0.18719783,H
Sheffield United,Leeds,0.3152889,0.54859895,0.13611212,A
Tottenham,Newcastle,0.47652516,0.17829832,0.34517646,H
Man City,Leicester,0.73716486,0.19639623,0.066438876,H
West Ham,Wolves,0.24855308,0.49120054,0.26024634,A
Fulham,Aston Villa,0.33365014,0.47366354,0.19268626,A
Liverpool,Arsenal,0.7075892,0.07745927,0.2149515,H
