HomeTeam,AwayTeam,p(H),p(A),p(D),APPLE Prediction
Chelsea,Crystal Palace,0.5186585,0.27045625,0.2108852,H
Everton,Brighton,0.6890672,0.17147149,0.13946135,H
Leeds,Man City,0.36095086,0.55121017,0.08783899,A
Newcastle,Burnley,0.3400862,0.5473665,0.1125473,A
Leicester,West Ham,0.5026397,0.34729186,0.15006843,H
Southampton,West Brom,0.33215654,0.1648643,0.5029792,D
Arsenal,Sheffield United,0.790308,0.06698074,0.14271133,H
Wolves,Fulham,0.79704475,0.043634146,0.15932113,H
Man United,Tottenham,0.50834846,0.37040064,0.1212509,H
Aston Villa,Liverpool,0.24349342,0.44934875,0.30715784,A
